Wavelength Intensity
1.02000 0.1086
1.02000 0.1047
1.02100 0.1213
1.02200 0.1341
1.02300 0.1431
1.02400 0.1597
1.02500 0.1775
1.02600 0.2312
1.02600 0.2018
1.02700 0.2784
1.02800 0.3283
1.02900 0.3832
1.03000 0.4700
1.03100 0.6361
1.03100 0.5492
1.03200 0.7293
1.03300 0.7945
1.03400 0.8481
1.03500 0.8979
1.03600 0.9362
1.03700 0.9618
1.03800 1.0078
1.03800 0.9937
1.03900 0.9976
1.04000 0.9707
1.04100 0.9797
1.04200 0.9810
1.04300 0.9643
1.04400 0.9669
1.04500 0.9580
1.04500 0.9516
1.04600 0.9567
1.04700 0.9503
1.04800 0.9414
1.04900 0.9311
1.05000 0.9184
1.05100 0.9069
1.05200 0.9018
1.05300 0.8915
1.05300 0.9030
1.05400 0.8826
1.05500 0.8647
1.05600 0.8762
1.05700 0.8852
1.05800 0.8379
1.05900 0.8392
1.06000 0.8698
1.06100 0.8213
1.06200 0.8009
1.06200 0.8098
1.06300 0.7970
1.06400 0.7728
1.06500 0.7728
1.06600 0.7625
1.06700 0.7510
1.06800 0.7434
1.06900 0.7357
1.07000 0.7319
1.07100 0.7204
1.07200 0.7127
1.07300 0.6936
1.07300 0.7102
1.07400 0.6859
1.07500 0.6808
1.07600 0.6770
1.07700 0.6629
1.07800 0.6527
1.07900 0.6450
1.08000 0.6412
1.08100 0.6271
1.08200 0.6195
1.08300 0.6118
1.08400 0.6042
1.08500 0.5939
1.08600 0.5876
1.08700 0.5824
1.08800 0.5735
1.08900 0.5697
1.09000 0.5531
1.09000 0.5633
1.09100 0.5467
1.09200 0.5441
1.09300 0.5326
1.09400 0.5199
1.09500 0.5199
1.09600 0.5122
1.09700 0.5045
1.09800 0.4994
1.09900 0.4815
1.10000 0.4803
1.10100 0.4726
1.10200 0.4637
1.10300 0.4573
1.10400 0.4598
1.10500 0.4483
1.10600 0.4407
1.10700 0.4356
1.10800 0.4356
1.10900 0.4266
1.11000 0.4164
1.11100 0.4113
1.11200 0.4087
1.11300 0.4075
1.11400 0.3960
1.11500 0.3947
1.11600 0.3870
1.11700 0.3832
1.11800 0.3819
1.11900 0.3755
1.12000 0.3640
1.12100 0.3627
1.12200 0.3589
1.12300 0.3564
1.12400 0.3359
1.12500 0.3346
1.12600 0.3359
1.12700 0.3295
1.12800 0.3257
1.12900 0.3193
1.13000 0.3142
1.13100 0.3078
1.13200 0.3027
1.13300 0.2989
1.13400 0.2951
1.13500 0.2951
1.13600 0.2861
1.13700 0.2810
1.13900 0.2810
1.14000 0.2721
1.14100 0.2721
1.14200 0.2580
1.14300 0.2567
1.14400 0.2555
1.14500 0.2542
1.14600 0.2414
1.14700 0.2376
1.14800 0.2325
1.14900 0.2337
1.15000 0.2286
1.15100 0.2222
1.15200 0.2274
1.15300 0.2184
1.15400 0.2108
1.15600 0.2056
1.15700 0.2082
1.15800 0.2018
1.15900 0.1993
1.16000 0.2005
1.16100 0.1916
1.16200 0.1890
1.16300 0.1878
1.16400 0.1852
1.16500 0.1814
1.16600 0.1788
1.16700 0.1737
1.16900 0.1737
1.17000 0.1712
1.17100 0.1686
1.17200 0.1622
1.17300 0.1609
1.17400 0.1609
1.17500 0.1558
1.17600 0.1494
1.17700 0.1520
1.17900 0.1494
1.18000 0.1482
